epoch,layer_index,layer_name,beta,tau
20,20,patch_embed3.orig_embed1.embed_lif,0.439895,1.785380
20,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
20,22,stage3.0.attn.x_lif,0.544762,2.196653
20,23,stage3.0.attn.q_lif,0.464605,1.867779
20,24,stage3.0.attn.k_lif,0.416944,1.715100
20,25,stage3.0.attn.v_lif,0.426324,1.743146
20,26,stage3.0.attn.attn_lif,0.403066,1.675228
20,27,stage3.0.mlp.fc1_lif,0.555714,2.250801
20,28,stage3.0.mlp.fc2_lif,0.617148,2.611976
20,29,stage3.1.attn.x_lif,0.492174,1.969177
20,30,stage3.1.attn.q_lif,0.317769,1.465778
20,31,stage3.1.attn.k_lif,0.326494,1.484769
20,32,stage3.1.attn.v_lif,0.401064,1.669627
20,33,stage3.1.attn.attn_lif,0.229296,1.297514
20,34,stage3.1.mlp.fc1_lif,0.638046,2.762782
20,35,stage3.1.mlp.fc2_lif,0.687072,3.195628
20,36,head_lif,0.362391,1.568359
25,0,patch_embed1.embed1.embed_lif,0.347723,1.533092
25,1,patch_embed1.embed2.embed_lif,0.419744,1.723378
25,2,stage1.0.attn.x_lif,0.463080,1.862475
25,3,stage1.0.attn.q_lif,0.315989,1.461965
25,4,stage1.0.attn.k_lif,0.458155,1.845547
25,5,stage1.0.attn.v_lif,0.486252,1.946481
25,6,stage1.0.attn.attn_lif,0.700953,3.343956
25,7,stage1.0.mlp.fc1_lif,0.623771,2.657955
25,8,stage1.0.mlp.fc2_lif,0.505765,2.023329
25,9,patch_embed2.embed1.embed_lif,0.554644,2.245393
25,10,patch_embed2.orig_embed1.embed_lif,0.403954,1.677722
25,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
25,12,stage2.0.attn.x_lif,0.518238,2.075716
25,13,stage2.0.attn.q_lif,0.402500,1.673641
25,14,stage2.0.attn.k_lif,0.418452,1.719550
25,15,stage2.0.attn.v_lif,0.433203,1.764300
25,16,stage2.0.attn.attn_lif,0.587085,2.421806
25,17,stage2.0.mlp.fc1_lif,0.652613,2.878636
25,18,stage2.0.mlp.fc2_lif,0.630149,2.703794
25,19,patch_embed3.embed1.embed_lif,0.517339,2.071848
25,20,patch_embed3.orig_embed1.embed_lif,0.387025,1.631389
25,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
25,22,stage3.0.attn.x_lif,0.549618,2.220337
25,23,stage3.0.attn.q_lif,0.431391,1.758679
25,24,stage3.0.attn.k_lif,0.391005,1.642049
25,25,stage3.0.attn.v_lif,0.411644,1.699651
25,26,stage3.0.attn.attn_lif,0.397921,1.660910
25,27,stage3.0.mlp.fc1_lif,0.589355,2.435196
25,28,stage3.0.mlp.fc2_lif,0.637530,2.758852
25,29,stage3.1.attn.x_lif,0.499846,1.999384
25,30,stage3.1.attn.q_lif,0.292037,1.412503
25,31,stage3.1.attn.k_lif,0.303739,1.436242
25,32,stage3.1.attn.v_lif,0.387392,1.632365
25,33,stage3.1.attn.attn_lif,0.200022,1.250034
25,34,stage3.1.mlp.fc1_lif,0.654982,2.898400
25,35,stage3.1.mlp.fc2_lif,0.677361,3.099438
25,36,head_lif,0.352633,1.544718
30,0,patch_embed1.embed1.embed_lif,0.338282,1.511218
30,1,patch_embed1.embed2.embed_lif,0.447158,1.808835
30,2,stage1.0.attn.x_lif,0.435098,1.770219
30,3,stage1.0.attn.q_lif,0.291665,1.411761
30,4,stage1.0.attn.k_lif,0.452290,1.825783
30,5,stage1.0.attn.v_lif,0.467882,1.879283
30,6,stage1.0.attn.attn_lif,0.751421,4.022862
30,7,stage1.0.mlp.fc1_lif,0.637941,2.761982
30,8,stage1.0.mlp.fc2_lif,0.489930,1.960515
30,9,patch_embed2.embed1.embed_lif,0.556195,2.253243
30,10,patch_embed2.orig_embed1.embed_lif,0.371139,1.590175
30,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
30,12,stage2.0.attn.x_lif,0.517826,2.073942
30,13,stage2.0.attn.q_lif,0.380340,1.613787
30,14,stage2.0.attn.k_lif,0.414447,1.707787
30,15,stage2.0.attn.v_lif,0.406824,1.685840
30,16,stage2.0.attn.attn_lif,0.616597,2.608224
30,17,stage2.0.mlp.fc1_lif,0.666267,2.996403
30,18,stage2.0.mlp.fc2_lif,0.636452,2.750667
30,19,patch_embed3.embed1.embed_lif,0.524098,2.101273
30,20,patch_embed3.orig_embed1.embed_lif,0.348599,1.535153
30,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
30,22,stage3.0.attn.x_lif,0.542452,2.185565
30,23,stage3.0.attn.q_lif,0.403599,1.676725
30,24,stage3.0.attn.k_lif,0.371391,1.590813
30,25,stage3.0.attn.v_lif,0.383394,1.621782
30,26,stage3.0.attn.attn_lif,0.396130,1.655985
30,27,stage3.0.mlp.fc1_lif,0.613795,2.589296
30,28,stage3.0.mlp.fc2_lif,0.638307,2.764773
30,29,stage3.1.attn.x_lif,0.512521,2.051369
30,30,stage3.1.attn.q_lif,0.284682,1.397979
30,31,stage3.1.attn.k_lif,0.298515,1.425548
30,32,stage3.1.attn.v_lif,0.383081,1.620960
30,33,stage3.1.attn.attn_lif,0.197566,1.246208
30,34,stage3.1.mlp.fc1_lif,0.664628,2.981765
30,35,stage3.1.mlp.fc2_lif,0.648398,2.844127
30,36,head_lif,0.349480,1.537231
35,0,patch_embed1.embed1.embed_lif,0.323725,1.478689
35,1,patch_embed1.embed2.embed_lif,0.463170,1.862787
35,2,stage1.0.attn.x_lif,0.429483,1.752795
35,3,stage1.0.attn.q_lif,0.283795,1.396248
35,4,stage1.0.attn.k_lif,0.438699,1.781576
35,5,stage1.0.attn.v_lif,0.447936,1.811383
35,6,stage1.0.attn.attn_lif,0.787581,4.707683
35,7,stage1.0.mlp.fc1_lif,0.641933,2.792772
35,8,stage1.0.mlp.fc2_lif,0.489250,1.957906
35,9,patch_embed2.embed1.embed_lif,0.557160,2.258150
35,10,patch_embed2.orig_embed1.embed_lif,0.349928,1.538291
35,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
35,12,stage2.0.attn.x_lif,0.524954,2.105059
35,13,stage2.0.attn.q_lif,0.375620,1.601589
35,14,stage2.0.attn.k_lif,0.414160,1.706952
35,15,stage2.0.attn.v_lif,0.399348,1.664859
35,16,stage2.0.attn.attn_lif,0.645499,2.820867
35,17,stage2.0.mlp.fc1_lif,0.677765,3.103328
35,18,stage2.0.mlp.fc2_lif,0.638382,2.765352
35,19,patch_embed3.embed1.embed_lif,0.522967,2.096289
35,20,patch_embed3.orig_embed1.embed_lif,0.322982,1.477065
35,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
35,22,stage3.0.attn.x_lif,0.543999,2.192976
35,23,stage3.0.attn.q_lif,0.379617,1.611907
35,24,stage3.0.attn.k_lif,0.357161,1.555599
35,25,stage3.0.attn.v_lif,0.369675,1.586483
35,26,stage3.0.attn.attn_lif,0.391613,1.643691
35,27,stage3.0.mlp.fc1_lif,0.630605,2.707128
35,28,stage3.0.mlp.fc2_lif,0.631706,2.715220
35,29,stage3.1.attn.x_lif,0.508187,2.033293
35,30,stage3.1.attn.q_lif,0.278742,1.386467
35,31,stage3.1.attn.k_lif,0.292641,1.413710
35,32,stage3.1.attn.v_lif,0.380546,1.614326
35,33,stage3.1.attn.attn_lif,0.188673,1.232549
35,34,stage3.1.mlp.fc1_lif,0.669088,3.021954
35,35,stage3.1.mlp.fc2_lif,0.613901,2.590011
35,36,head_lif,0.349211,1.536596
40,0,patch_embed1.embed1.embed_lif,0.307659,1.444375
40,1,patch_embed1.embed2.embed_lif,0.473597,1.899686
40,2,stage1.0.attn.x_lif,0.412352,1.701700
40,3,stage1.0.attn.q_lif,0.278851,1.386676
40,4,stage1.0.attn.k_lif,0.436497,1.774612
40,5,stage1.0.attn.v_lif,0.431206,1.758107
40,6,stage1.0.attn.attn_lif,0.812216,5.325262
40,7,stage1.0.mlp.fc1_lif,0.651813,2.872020
40,8,stage1.0.mlp.fc2_lif,0.478705,1.918300
40,9,patch_embed2.embed1.embed_lif,0.552818,2.236227
40,10,patch_embed2.orig_embed1.embed_lif,0.332294,1.497664
40,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
40,12,stage2.0.attn.x_lif,0.523551,2.098862
40,13,stage2.0.attn.q_lif,0.362632,1.568952
40,14,stage2.0.attn.k_lif,0.406368,1.684545
40,15,stage2.0.attn.v_lif,0.390426,1.640490
40,16,stage2.0.attn.attn_lif,0.666220,2.995986
40,17,stage2.0.mlp.fc1_lif,0.684810,3.172693
40,18,stage2.0.mlp.fc2_lif,0.640367,2.780615
40,19,patch_embed3.embed1.embed_lif,0.522975,2.096328
40,20,patch_embed3.orig_embed1.embed_lif,0.304325,1.437454
40,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
40,22,stage3.0.attn.x_lif,0.537570,2.162488
40,23,stage3.0.attn.q_lif,0.361342,1.565784
40,24,stage3.0.attn.k_lif,0.347629,1.532870
40,25,stage3.0.attn.v_lif,0.350743,1.540223
40,26,stage3.0.attn.attn_lif,0.389092,1.636907
40,27,stage3.0.mlp.fc1_lif,0.643392,2.804196
40,28,stage3.0.mlp.fc2_lif,0.617957,2.617504
40,29,stage3.1.attn.x_lif,0.505272,2.021315
40,30,stage3.1.attn.q_lif,0.272318,1.374227
40,31,stage3.1.attn.k_lif,0.287966,1.404427
40,32,stage3.1.attn.v_lif,0.378903,1.610054
40,33,stage3.1.attn.attn_lif,0.183159,1.224229
40,34,stage3.1.mlp.fc1_lif,0.674058,3.068033
40,35,stage3.1.mlp.fc2_lif,0.579782,2.379714
40,36,head_lif,0.350967,1.540754
45,0,patch_embed1.embed1.embed_lif,0.306209,1.441357
45,1,patch_embed1.embed2.embed_lif,0.479375,1.920768
45,2,stage1.0.attn.x_lif,0.407884,1.688859
45,3,stage1.0.attn.q_lif,0.282401,1.393535
45,4,stage1.0.attn.k_lif,0.438768,1.781794
45,5,stage1.0.attn.v_lif,0.431533,1.759116
45,6,stage1.0.attn.attn_lif,0.831243,5.925680
45,7,stage1.0.mlp.fc1_lif,0.662430,2.962352
45,8,stage1.0.mlp.fc2_lif,0.473481,1.899268
45,9,patch_embed2.embed1.embed_lif,0.544507,2.195425
45,10,patch_embed2.orig_embed1.embed_lif,0.317801,1.465847
45,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
45,12,stage2.0.attn.x_lif,0.518270,2.075852
45,13,stage2.0.attn.q_lif,0.351684,1.542459
45,14,stage2.0.attn.k_lif,0.399908,1.666411
45,15,stage2.0.attn.v_lif,0.382594,1.619678
45,16,stage2.0.attn.attn_lif,0.680529,3.130179
45,17,stage2.0.mlp.fc1_lif,0.689851,3.224259
45,18,stage2.0.mlp.fc2_lif,0.636481,2.750886
45,19,patch_embed3.embed1.embed_lif,0.527283,2.115430
45,20,patch_embed3.orig_embed1.embed_lif,0.289443,1.407347
45,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
45,22,stage3.0.attn.x_lif,0.522159,2.092745
45,23,stage3.0.attn.q_lif,0.340016,1.515188
45,24,stage3.0.attn.k_lif,0.334228,1.502015
45,25,stage3.0.attn.v_lif,0.334296,1.502169
